date,dining_hall,swipes,featured_item,week,coffee_consumed,average_coffee
2024-01-26,Brooks,130,Lasagna,3,40,0.3076923076923077
2024-01-25,Brooks,134,Burger,3,38,0.2835820895522388
2024-01-24,Brooks,128,Tacos,3,36,0.28125
2024-01-23,Brooks,121,Pasta,3,34,0.2809917355371901
2024-01-18,Brooks,118,Stir-Fry,2,33,0.2796610169491525
2024-01-19,Brooks,127,Burrito,2,35,0.2755905511811024
2024-01-11,Brooks,110,Stir-Fry,1,29,0.2636363636363636
2024-01-12,Brooks,119,Burrito,1,31,0.2605042016806723
2024-01-15,Brooks,120,Pasta,2,30,0.25
2024-01-16,Brooks,115,Chicken,2,28,0.24347826086956523
2024-01-22,Brooks,132,Lasagna,3,32,0.24242424242424243
2024-01-10,Brooks,116,Tacos,1,27,0.23275862068965517
2024-01-09,Brooks,112,Chicken,1,26,0.23214285714285715
2024-01-17,Brooks,125,Tacos,2,29,0.232
2024-01-08,Brooks,108,Pasta,1,24,0.2222222222222222
